S.ID,DATE,NAME,GENDER,CAST,EMAIL ID,P.NO,REG.NO
23487,7-Feb,GOGI,M,SC,xyz124@gmail.com,1234567891,105003836
23488,8-Feb,SHRUTI,F,SC,xyz125@gmai.com,1234567891,105003836
23489,9-Feb,ARPITA,F,SC,xyz123@gmail.com,1234567891,105003836
23490,10-Feb,MONU,M,SC,xyz124@gmail.com,1234567891,105003836
23491,11-Feb,RITU,F,SC,xyz125@gmai.com,1234567891,105003836
23492,12-Feb,RISHI,M,ST,xyz123@gmail.com,1234567891,105003836
23493,13-Feb,ADHAVIK,M,ST,xyz124@gmail.com,1234567891,105003836
23494,14-Feb,RITIK,M,ST,xyz125@gmai.com,1234567891,105003836
23495,15-Feb,ASTHA,F,ST,xyz123@gmail.com,1234567891,105003836
23496,16-Feb,RISHI,M,UR,xyz124@gmail.com,1234567891,105003836
23497,17-Feb,RITU,F,UR,xyz125@gmai.com,1234567891,105003836
23498,18-Feb,RITA ,F,UR,xyz123@gmail.com,1234567891,105003836
23499,19-Feb,RIYA,F,ST,xyz124@gmail.com,1234567891,105003836
23500,20-Feb,RADHA,F,ST,xyz125@gmai.com,1234567891,105003836
23501,21-Feb,PRIYA,F,ST,xyz123@gmail.com,1234567891,105003836
23502,22-Feb,PRITI,F,ST,xyz124@gmail.com,1234567891,105003836
23503,23-Feb,PRAGYA',F,UR,xyz125@gmai.com,1234567891,105003836
23504,24-Feb,ANKIT,M,UR,xyz123@gmail.com,1234567891,105003836
23505,25-Feb,SWETA,F,UR,xyz124@gmail.com,1234567891,105003836
23506,26-Feb,NANDITA,F,ST,xyz125@gmai.com,1234567891,105003836
23507,27-Feb,RADHA,F,ST,xyz123@gmail.com,1234567891,105003836
23508,28-Feb,SHUBHAM,M,ST,xyz124@gmail.com,1234567891,105003836
23509,1-Mar,SAURAV,M,ST,xyz125@gmai.com,1234567891,105003836
23510,2-Mar,NANDNI,F,UR,xyz123@gmail.com,1234567891,105003836
23511,3-Mar,RADHIKA,F,UR,xyz124@gmail.com,1234567891,105003836
23512,4-Mar,ANJALI,F,UR,xyz125@gmai.com,1234567891,105003836
23513,5-Mar,KIRAN ,F,ST,xyz123@gmail.com,1234567891,105003836
23514,6-Mar,PRIYA,F,ST,xyz124@gmail.com,1234567891,105003836
23515,7-Mar,KIRTI,F,ST,xyz125@gmai.com,1234567891,105003836
23516,8-Mar,PRAGATI,F,ST,xyz123@gmail.com,1234567891,105003836
23517,9-Mar,SONALI,F,UR,xyz124@gmail.com,1234567891,105003836
23518,10-Mar,ASTHA,F,UR,xyz125@gmai.com,1234567891,105003836
23519,11-Mar,PRAGYA',F,UR,xyz123@gmail.com,1234567891,105003836
23520,12-Mar,SHURUTI,F,ST,xyz124@gmail.com,1234567891,105003836
